time	V(in)	V(out)	abs(V(out)/V(in))
1.307406767066736e-002	2.777767e-002	-2.822811e-001	1.016216e+001
1.313253453888379e-002	4.705651e-002	-4.787822e-001	1.017462e+001
1.316945938349060e-002	5.626381e-002	-5.726933e-001	1.017872e+001
1.319516289532728e-002	6.081889e-002	-6.191946e-001	1.018096e+001
1.321396935313087e-002	6.308143e-002	-6.423220e-001	1.018243e+001
1.322985853421364e-002	6.425080e-002	-6.543049e-001	1.018361e+001
1.324513709872747e-002	6.471732e-002	-6.591271e-001	1.018471e+001
1.326319207431524e-002	6.443349e-002	-6.563199e-001	1.018601e+001
1.328647141098408e-002	6.268481e-002	-6.386157e-001	1.018773e+001
1.332418703949011e-002	5.674517e-002	-5.782805e-001	1.019083e+001
1.338413037469344e-002	4.111223e-002	-4.192633e-001	1.019802e+001
1.347377902178686e-002	9.853174e-003	-1.010433e-001	1.025490e+001
1.357406767066735e-002	-2.777767e-002	2.822811e-001	1.016216e+001
1.363253453888379e-002	-4.705651e-002	4.787822e-001	1.017462e+001
1.366945938349059e-002	-5.626381e-002	5.726933e-001	1.017872e+001
1.369516289532728e-002	-6.081889e-002	6.191946e-001	1.018096e+001
1.371396935313087e-002	-6.308143e-002	6.423220e-001	1.018243e+001
1.372985853421364e-002	-6.425080e-002	6.543049e-001	1.018361e+001
1.374513709872747e-002	-6.471732e-002	6.591271e-001	1.018471e+001
1.376319207431524e-002	-6.443349e-002	6.563199e-001	1.018601e+001
1.378647141098408e-002	-6.268481e-002	6.386157e-001	1.018773e+001
1.382418703949011e-002	-5.674517e-002	5.782805e-001	1.019083e+001
1.388413037469344e-002	-4.111223e-002	4.192633e-001	1.019802e+001
1.397377902178686e-002	-9.853174e-003	1.010433e-001	1.025490e+001
1.407406767066735e-002	2.777767e-002	-2.822811e-001	1.016216e+001
1.413253453888378e-002	4.705651e-002	-4.787822e-001	1.017462e+001
1.416945938349059e-002	5.626381e-002	-5.726933e-001	1.017872e+001
