time	Vsh	Vpre
1.368557143371284e-003	7.772136e-004	2.130629e-001
1.373964286742480e-003	7.307844e-004	2.060556e-001
1.379371430113676e-003	6.894790e-004	1.992677e-001
1.384778573484872e-003	6.532975e-004	1.926993e-001
1.390185716856068e-003	6.222399e-004	1.863503e-001
1.395592860227264e-003	5.963061e-004	1.802207e-001
1.401000003598460e-003	5.754961e-004	1.743107e-001
1.401016850044476e-003	5.753273e-004	1.742966e-001
1.401033696490492e-003	5.753268e-004	1.743303e-001
1.401050542936508e-003	5.754947e-004	1.744116e-001
1.401067389382524e-003	5.758310e-004	1.745407e-001
1.401084235828540e-003	5.763357e-004	1.747174e-001
1.401101082274556e-003	5.770088e-004	1.749419e-001
1.401117928720572e-003	5.778502e-004	1.752140e-001
1.401217928720572e-003	5.905257e-004	1.775738e-001
1.401317928720572e-003	6.188206e-004	1.812291e-001
1.401400000000000e-003	6.625968e-004	1.854197e-001
1.401500000000000e-003	7.384692e-004	1.915964e-001
1.401570000000000e-003	8.251814e-004	1.968043e-001
1.401650000000000e-003	9.527265e-004	2.027897e-001
1.401750000000000e-003	1.148493e-003	2.102695e-001
1.401850000000000e-003	1.386977e-003	2.177447e-001
1.401950000000000e-003	1.669867e-003	2.252154e-001
1.402050000000000e-003	1.996570e-003	2.326815e-001
1.402150000000000e-003	2.366495e-003	2.401430e-001
1.402250000000000e-003	2.779058e-003	2.475998e-001
1.402350000000000e-003	3.233682e-003	2.550521e-001
1.402450000000000e-003	3.729795e-003	2.624997e-001
1.402650000000001e-003	4.844226e-003	2.773812e-001
1.402850000000001e-003	6.117889e-003	2.922442e-001
1.403050000000001e-003	7.546408e-003	3.070889e-001
1.403250000000001e-003	9.125498e-003	3.219152e-001
1.403450000000001e-003	1.085096e-002	3.367232e-001
1.403750000000001e-003	1.370461e-002	3.589009e-001
1.404050000000001e-003	1.686481e-002	3.810374e-001
1.404350000000002e-003	2.031842e-002	4.031330e-001
1.404657142857144e-003	2.417643e-002	4.257118e-001
1.404964285714287e-003	2.828392e-002	4.482480e-001
1.405271428571430e-003	3.264087e-002	4.707417e-001
1.405578571428572e-003	3.724729e-002	4.931929e-001
1.405885714285715e-003	4.210318e-002	5.156016e-001
1.406192857142857e-003	4.720853e-002	5.379677e-001
1.406500000000000e-003	5.256336e-002	5.602912e-001
1.406569999999996e-003	5.380858e-002	5.650073e-001
1.406749999999992e-003	5.703753e-002	5.738603e-001
1.406900000000000e-003	5.973147e-002	5.778738e-001
1.407000000000000e-003	6.151567e-002	5.787094e-001
1.407030000000000e-003	6.204587e-002	5.786269e-001
1.407661428571429e-003	7.254470e-002	5.763758e-001
1.408292857142858e-003	8.221628e-002	5.741325e-001
1.408924285714287e-003	9.106062e-002	5.718968e-001
1.409555714285716e-003	9.907771e-002	5.696690e-001
1.410187142857145e-003	1.062676e-001	5.674489e-001
1.410818571428574e-003	1.126302e-001	5.652365e-001
1.411450000000003e-003	1.181656e-001	5.630319e-001
1.411550000000003e-003	1.190026e-001	5.626837e-001
1.412278571428574e-003	1.244862e-001	5.601539e-001
1.413007142857146e-003	1.293234e-001	5.576354e-001
1.413735714285718e-003	1.335142e-001	5.551281e-001
1.414464285714290e-003	1.370588e-001	5.526321e-001
1.415192857142862e-003	1.399570e-001	5.501473e-001
1.415921428571434e-003	1.422088e-001	5.476738e-001
1.416650000000005e-003	1.438143e-001	5.452116e-001
1.417335714285720e-003	1.449425e-001	5.429042e-001
1.418021428571435e-003	1.457583e-001	5.406066e-001
1.418707142857150e-003	1.462617e-001	5.383185e-001
1.419392857142864e-003	1.464527e-001	5.360402e-001
1.420078571428579e-003	1.463313e-001	5.337715e-001
1.420764285714294e-003	1.458975e-001	5.315125e-001
1.421450000000008e-003	1.451513e-001	5.292631e-001
1.422335714285723e-003	1.438575e-001	5.263718e-001
1.423221428571438e-003	1.423286e-001	5.234961e-001
1.424107142857153e-003	1.405646e-001	5.206360e-001
1.424992857142867e-003	1.385654e-001	5.177915e-001
1.425878571428582e-003	1.363310e-001	5.149626e-001
1.426764285714297e-003	1.338616e-001	5.121493e-001
1.427650000000012e-003	1.311570e-001	5.093515e-001
1.428892857142870e-003	1.271539e-001	5.054516e-001
1.430135714285727e-003	1.230740e-001	5.015810e-001
1.431378571428585e-003	1.189174e-001	4.977397e-001
1.432621428571443e-003	1.146839e-001	4.939278e-001
1.433864285714301e-003	1.103736e-001	4.901451e-001
1.435107142857159e-003	1.059865e-001	4.863917e-001
1.436350000000017e-003	1.015227e-001	4.826676e-001
1.437735714285732e-003	9.665754e-002	4.785492e-001
1.439121428571447e-003	9.191524e-002	4.744653e-001
1.440507142857162e-003	8.729575e-002	4.704157e-001
1.441892857142877e-003	8.279906e-002	4.664005e-001
1.443278571428592e-003	7.842518e-002	4.624198e-001
1.444664285714307e-003	7.417411e-002	4.584735e-001
1.446050000000022e-003	7.004585e-002	4.545615e-001
1.447507142857166e-003	6.591314e-002	4.504840e-001
1.448964285714310e-003	6.195954e-002	4.464422e-001
1.450421428571453e-003	5.818504e-002	4.424363e-001
1.451878571428597e-003	5.458964e-002	4.384661e-001
1.453335714285740e-003	5.117335e-002	4.345317e-001
1.454792857142884e-003	4.793616e-002	4.306331e-001
1.456250000000028e-003	4.487807e-002	4.267702e-001
1.457850000000029e-003	4.172879e-002	4.225687e-001
1.459450000000030e-003	3.875563e-002	4.184075e-001
1.461050000000031e-003	3.595857e-002	4.142868e-001
1.462650000000032e-003	3.333762e-002	4.102064e-001
1.464250000000032e-003	3.089278e-002	4.061663e-001
1.465850000000033e-003	2.862405e-002	4.021667e-001
1.467450000000034e-003	2.653143e-002	3.982074e-001
1.469307142857178e-003	2.429146e-002	3.936610e-001
1.471164285714322e-003	2.220619e-002	3.891651e-001
1.473021428571466e-003	2.027563e-002	3.847197e-001
1.474878571428610e-003	1.849977e-002	3.803247e-001
1.476735714285754e-003	1.687862e-002	3.759802e-001
1.478592857142898e-003	1.541218e-002	3.716862e-001
1.480450000000042e-003	1.410044e-002	3.674427e-001
1.482578571428614e-003	1.273620e-002	3.626389e-001
1.484707142857187e-003	1.148218e-002	3.578959e-001
1.486835714285759e-003	1.033837e-002	3.532138e-001
1.488964285714332e-003	9.304769e-003	3.485925e-001
1.491092857142905e-003	8.381382e-003	3.440321e-001
1.493221428571477e-003	7.568207e-003	3.395324e-001
1.495350000000050e-003	6.865243e-003	3.350936e-001
1.497678571428623e-003	6.173323e-003	3.303045e-001
1.500007142857196e-003	5.542717e-003	3.255814e-001
1.502335714285768e-003	4.973426e-003	3.209245e-001
1.504664285714341e-003	4.465450e-003	3.163337e-001
1.506992857142914e-003	4.018787e-003	3.118090e-001
1.509321428571487e-003	3.633440e-003	3.073503e-001
1.511650000000059e-003	3.309406e-003	3.029578e-001
1.513950000000061e-003	3.011100e-003	2.986786e-001
1.516921428571491e-003	2.690073e-003	2.932438e-001
1.519892857142921e-003	2.402588e-003	2.879038e-001
1.522864285714351e-003	2.148647e-003	2.826583e-001
1.525835714285782e-003	1.928248e-003	2.775075e-001
1.528807142857212e-003	1.741393e-003	2.724513e-001
1.531778571428642e-003	1.588080e-003	2.674897e-001
1.534750000000072e-003	1.468311e-003	2.626228e-001
1.539150000000075e-003	1.317859e-003	2.555843e-001
1.543550000000077e-003	1.185870e-003	2.487227e-001
1.547950000000080e-003	1.072342e-003	2.420382e-001
1.552350000000082e-003	9.772764e-004	2.355306e-001
1.556750000000085e-003	9.006724e-004	2.292000e-001
1.561150000000087e-003	8.425302e-004	2.230464e-001
1.565550000000090e-003	8.028498e-004	2.170698e-001
1.570614286228428e-003	7.578506e-004	2.103911e-001
1.575678572456767e-003	7.170280e-004	2.039035e-001
1.580742858685105e-003	6.803819e-004	1.976069e-001
1.585807144913444e-003	6.479125e-004	1.915015e-001
1.590871431141782e-003	6.196196e-004	1.855871e-001
1.595935717370121e-003	5.955033e-004	1.798638e-001
1.601000003598460e-003	5.755635e-004	1.743315e-001
1.601016850044476e-003	5.753947e-004	1.743175e-001
1.601033696490492e-003	5.753942e-004	1.743511e-001
1.601050542936508e-003	5.755621e-004	1.744325e-001
1.601067389382524e-003	5.758983e-004	1.745615e-001
1.601084235828539e-003	5.764030e-004	1.747383e-001
1.601101082274555e-003	5.770761e-004	1.749627e-001
1.601117928720571e-003	5.779175e-004	1.752349e-001
1.601217928720571e-003	5.905930e-004	1.775946e-001
1.601317928720572e-003	6.188878e-004	1.812499e-001
1.601400000000000e-003	6.626640e-004	1.854405e-001
1.601500000000000e-003	7.385364e-004	1.916171e-001
1.601570000000000e-003	8.252485e-004	1.968251e-001
1.601650000000000e-003	9.527936e-004	2.028104e-001
1.601750000000000e-003	1.148561e-003	2.102902e-001
1.601850000000000e-003	1.387044e-003	2.177655e-001
1.601950000000000e-003	1.669934e-003	2.252362e-001
1.602050000000000e-003	1.996637e-003	2.327022e-001
1.602150000000000e-003	2.366562e-003	2.401637e-001
1.602250000000000e-003	2.779125e-003	2.476205e-001
1.602350000000000e-003	3.233749e-003	2.550727e-001
1.602450000000001e-003	3.729862e-003	2.625204e-001
1.602650000000001e-003	4.844293e-003	2.774018e-001
1.602850000000001e-003	6.117955e-003	2.922648e-001
1.603050000000001e-003	7.546474e-003	3.071095e-001
1.603250000000001e-003	9.125564e-003	3.219358e-001
1.603450000000001e-003	1.085102e-002	3.367437e-001
1.603750000000001e-003	1.370468e-002	3.589214e-001
