time	V(out)
3.002021141270195e-003	1.327189e-003
3.002121141270195e-003	1.685175e-003
3.002221141270195e-003	2.085966e-003
3.002321141270195e-003	2.528982e-003
3.002421141270195e-003	3.013650e-003
3.002521141270195e-003	3.539401e-003
3.002721141270194e-003	4.711911e-003
3.002921141270194e-003	6.042079e-003
3.003121141270194e-003	7.525563e-003
3.003321141270193e-003	9.158107e-003
3.003521141270193e-003	1.093554e-002
3.003821141270192e-003	1.386444e-002
3.004121141270192e-003	1.709672e-002
3.004421141270192e-003	2.061934e-002
3.004718121088735e-003	2.440847e-002
3.005015100907280e-003	2.842946e-002
3.005312080725824e-003	3.268229e-002
3.005609060544368e-003	3.716698e-002
3.005906040362912e-003	4.188351e-002
3.006203020181456e-003	4.683189e-002
3.006500000000000e-003	5.201212e-002
3.006570000000000e-003	5.325760e-002
3.006749999999999e-003	5.648722e-002
3.006900000000000e-003	5.918171e-002
3.007000000000000e-003	6.096626e-002
3.007030000000000e-003	6.149657e-002
3.007718571428570e-003	7.287277e-002
3.008407142857140e-003	8.328472e-002
3.009095714285711e-003	9.273240e-002
3.009784285714281e-003	1.012158e-001
3.010472857142852e-003	1.087350e-001
3.011161428571422e-003	1.152899e-001
3.011849999999992e-003	1.208805e-001
3.012564285714277e-003	1.259470e-001
3.013278571428562e-003	1.304099e-001
3.013992857142846e-003	1.342691e-001
3.014707142857130e-003	1.375246e-001
3.015421428571415e-003	1.401765e-001
3.016135714285700e-003	1.422247e-001
3.016849999999984e-003	1.436693e-001
3.017564285714269e-003	1.447100e-001
3.018278571428554e-003	1.454246e-001
3.018992857142838e-003	1.458128e-001
3.019707142857122e-003	1.458748e-001
3.020421428571407e-003	1.456106e-001
3.021135714285692e-003	1.450201e-001
3.021849999999976e-003	1.441033e-001
3.022764285714260e-003	1.425999e-001
3.023678571428545e-003	1.408658e-001
3.024592857142829e-003	1.389009e-001
3.025507142857113e-003	1.367053e-001
3.026421428571397e-003	1.342789e-001
3.027335714285682e-003	1.316217e-001
3.028249999999966e-003	1.287338e-001
3.029521428571392e-003	1.245323e-001
3.030792857142819e-003	1.202734e-001
3.032064285714245e-003	1.159572e-001
3.033335714285672e-003	1.115836e-001
3.034607142857099e-003	1.071528e-001
3.035878571428525e-003	1.026646e-001
3.037149999999952e-003	9.811904e-002
3.038535714285664e-003	9.329487e-002
3.039921428571376e-003	8.860194e-002
3.041307142857088e-003	8.404025e-002
3.042692857142800e-003	7.960979e-002
3.044078571428512e-003	7.531056e-002
3.045464285714224e-003	7.114257e-002
3.046849999999936e-003	6.710582e-002
3.048292857142791e-003	6.310750e-002
3.049735714285646e-003	5.928434e-002
3.051178571428501e-003	5.563635e-002
3.052621428571355e-003	5.216353e-002
3.054064285714210e-003	4.886588e-002
3.055507142857065e-003	4.574340e-002
3.056949999999920e-003	4.279608e-002
3.057435714285634e-003	4.183926e-002
3.057921428571347e-003	4.090021e-002
3.058407142857060e-003	3.997892e-002
3.058892857142774e-003	3.907540e-002
3.059378571428488e-003	3.818965e-002
